R;G;B
188.98;191.86;173.92
193.47;181.63;167.5
190.54;177.46;143.57
209.38;209.7;217.64
157.8;148.54;153.28
152.28;151.16;125.15
219.79;158.25;81.05
220.5;82.52;68.67
187.72;24.11;28.88
183.25;19.14;32.42
111.96;11.87;29.89
56.02;26.2;50.24
113.44;34.99;47.64
131.92;15.5;26.8
200.67;126.87;130.85
164.03;26.83;29.3
209.03;100.34;139.68
213.83;151.57;202.75
216.26;63.63;102.63
217.11;42.48;76.73
214.53;90.32;83.56
198.82;18.45;58.58
187.65;28.66;51.74
131.54;77.72;170.29
158.66;36.72;87.03
211.06;71.78;176.75
109.86;13.72;60.97
127.73;86.19;208.69
168.42;25.03;147.57
69.19;22.59;70.02
148.76;42.39;173.95
159.93;128.13;187.39
213.59;42.69;145.08
36.6;62.13;162.13
17.73;27.23;123.79
87.89;113.74;203.73
24.97;22.84;131.97
58.01;91.38;198.11
82.67;145.96;226.73
29.23;120.64;135.74
2.22;115.87;56.69
16.93;101.33;45.38
61.37;80.86;68.72
21.7;177.77;44.75
172.79;205.95;211.09
40.31;66.71;66.25
125.32;164.58;157.73
43.01;43.81;49.59
57.85;119.34;62.26
107.57;187.2;226.13
31.59;81.77;91.19
0;140.33;107.57
141.91;152.48;198.59
96.58;111.23;146.21
22.1;27.67;54.31
